Field1,Field2,Field3
6-50-05-02/1-0046,วิสาหกิจชุมชนธูปและเครื่องหอมสมุนไพร,"
                                        234/68  หมู่ 15  ต.สันปูเลย  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0903197480 
                                    "
6-50-05-02/1-0047,วิสาหกิจชุมชนกลุ่มผลิตผักสมุนไพรชุมชนสันต้นม่วงใต้,"
                                        34/1  หมู่ 9  ต.สันปูเลย  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0817469968 
                                    "
6-50-05-02/1-0048,วิสาหกิจชุมชนกลุ่มส่งเสริมอาชีพบ้านฝ้ายทอง ม.13,"
                                        52  หมู่ 13  ต.สันปูเลย  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0817245011 
                                    "
6-50-05-03/1-0009,วิสาหกิจชุมชนบ้านตุ๊กตาไม้ลวงเหนือ,"
                                        83  หมู่ 4  ต.ลวงเหนือ  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0873010693 
                                    "
6-50-05-03/1-0010,วิสาหกิจชุมชนกลุ่มพรมเช็ดเท้าและผ้านวม,"
                                        34  หมู่ 2  ต.ลวงเหนือ  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0801224714 
                                    "
6-50-05-03/1-0014,วิสาหกิจชุมชนกลุ่มแม่บ้านเกษตรกรบ้านวังธาร,"
                                        175  หมู่ 8  ต.ลวงเหนือ  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 053104551 
                                    "
6-50-05-03/1-0027,วิสาหกิจชุมชนกลุ่มผู้ผลิตเมล็ดพันธุ์ข้าวบ้านสันทราย,"
                                        110  หมู่ 6  ต.ลวงเหนือ  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0848073167 
                                    "
6-50-05-03/1-0030,วิสาหกิจชุมชนกลุ่มผู้เลี้ยงไก่ประดู่หางดำเชียงใหม่ ต.ลวงเหนือ,"
                                        170  หมู่ 5  ต.ลวงเหนือ  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0617982771 
                                    "
6-50-05-03/1-0031,วิสาหกิจชุมชนศูนย์จัดการศัตรูพืชชุมชนตำบลลวงเหนือ,"
                                        116  หมู่ 6  ต.ลวงเหนือ  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0894312996 
                                    "
6-50-05-03/1-0032,วิสาหกิจชุมชนกลุ่มแปรรูปข้าวเปลือกชุมชนตำบลลวงเหนือ,"
                                        187/1  หมู่ 6  ต.ลวงเหนือ  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0901504124 
                                    "
6-50-05-03/1-0033,วิสาหกิจชุมชนกลุ่มท่องเที่ยวโดยชุมชนไตลื้อเมืองลวงเหนือ,"
                                        142  หมู่ 4  ต.ลวงเหนือ  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 053496264 
                                    "
6-50-05-03/1-0034,วิสาหกิจชุมชนกลุ่มแปรรูปพืชผักปลอดภัยและสมุนไพรตำบลลวงเหนือ,"
                                        88/2  หมู่ 7  ต.ลวงเหนือ  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0898554215 
                                    "
6-50-05-03/1-0035,วิสาหกิจชุมชนหัตถกรรมเศษไม้ OTOP วิถี,"
                                        164  หมู่ 1  ต.ลวงเหนือ  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0931768494 
                                    "
6-50-05-03/1-0036,วิสาหกิจชุมชนกลุ่มผลิตภัณฑ์จากผ้าบ้านข้างน้ำ,"
                                        146/2  หมู่ 7  ต.ลวงเหนือ  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0819519337 
                                    "
6-50-05-03/1-0037,วิสาหกิจชุมชนกลุ่มเลี้ยงผึ้งบ้านป่าสักงาม,"
                                        100  หมู่ 1  ต.ลวงเหนือ  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0627985259 
                                    "
6-50-05-03/1-0038,วิสาหกิจชุมชนสมุนไพรเมืองวะสามัคคี,"
                                        17  หมู่ 3  ต.ลวงเหนือ  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-05-03/1-0039,วิสาหกิจชุมชนกลุ่มแม่บ้านเกษตรกรไตลื้อเมืองลวงเหนือ,"
                                        55  หมู่ 4  ต.ลวงเหนือ  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0819504392 
                                    "
6-50-05-03/1-0040,วิสาหกิจชุมชนรักษ์ป่าสักงาม,"
                                        95/2  หมู่ 1  ต.ลวงเหนือ  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0925829409 
                                    "
6-50-05-04/1-0014,วิสาหกิจชุมชนกลุ่มเกษตรกรผู้เลี้ยงวัว ตำบลป่าป้อง,"
                                        116/1  หมู่ 2  ต.ป่าป้อง  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0655069617 
                                    "
6-50-05-04/1-0015,วิสาหกิจชุมชนกลุ่มแม่บ้านเกษตรกร แปรรูปอาหารบ้านใต้ร้อง หมู่ที่5,"
                                        15  หมู่ 5  ต.ป่าป้อง  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0898387990 
                                    "
6-50-05-05/1-0005,วิสาหกิจชุมชนของที่ระลึก,"
                                        73  หมู่ 3  ต.สง่าบ้าน  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 053042277 
                                    "
6-50-05-05/1-0017,วิสาหกิจชุมชนกลุ่มช่างสง่าบ้าน,"
                                        40  หมู่ 5  ต.สง่าบ้าน  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0816817986 
                                    "
6-50-05-05/1-0018,วิสาหกิจชุมชนเพาะเห็ดและแปรรูป บ้านดอกแดง,"
                                        17  หมู่ 1  ต.สง่าบ้าน  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0899547092 
                                    "
6-50-05-06/1-0008,วิสาหกิจชุมชนกลุ่มสตรีศรีป่าดู่,"
                                        36  หมู่ 1  ต.ป่าลาน  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 053495927 
                                    "
6-50-05-06/1-0009,วิสาหกิจชุมชนกลุ่มเย็บผ้าบ้านป่าดู่,"
                                        36  หมู่ 1  ต.ป่าลาน  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 053495927 
                                    "
6-50-05-06/1-0020,วิสาหกิจชุมชนเตาหลวง สตูดิโอ,"
                                        1  หมู่ 3  ต.ป่าลาน  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0840419770 
                                    "
6-50-05-06/1-0021,วิสาหกิจชุมชนแปรรูปผลผลิตพริกบ้านป่าติ้ว,"
                                        26  หมู่ 4  ต.ป่าลาน  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0917105850 
                                    "
6-50-05-08/1-0005,วิสาหกิจชุมชนกลุ่มมิ่งไม้เมืองเหนือ,"
                                        10  หมู่ 2  ต.สำราญราษฎร์  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 053887502 
                                    "
6-50-05-08/1-0029,วิสาหกิจชุมชนม่อนดอยฟาร์ม,"
                                        31/1  หมู่ 3  ต.สำราญราษฎร์  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0654198978 
                                    "
6-50-05-08/1-0030,วิสาหกิจชุมชนบ้านสันมะเกี๋ยง,"
                                        2  หมู่ 6  ต.สำราญราษฎร์  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 053106959 
                                    "
6-50-05-08/1-0031,วิสาหกิจชุมชนกลุ่มส่งเสริมอาชีพการเกษตรตำบลสำราญราษฎร์,"
                                        170  หมู่ 3  ต.สำราญราษฎร์  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0869244068 
                                    "
6-50-05-08/1-0032,วิสาหกิจชุมชนกลุ่มส่งเสริมอาชีพการเกษตรผลิตภัณฑ์แปรรูปเห็ด ฮับเห็ดสำราญราษฎร์,"
                                        3  หมู่ 4  ต.สำราญราษฎร์  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0969568256 
                                    "
6-50-05-09/1-0002,วิสาหกิจชุมชนกลุ่มผลิตปุ๋ยอินทรีย์บ้านแม่คือ,"
                                        38  หมู่ 1  ต.แม่คือ  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 097576569 
                                    "
6-50-05-09/1-0015,วิสาหกิจชุมชนตำบลแม่คือ,"
                                        154  หมู่ 4  ต.แม่คือ  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0869238924 
                                    "
6-50-05-09/1-0017,วิสาหกิจชุมชนกลุ่มทอผ้าไทยวนบ้านป่าบง (วัดเทพินทราราม),"
                                        121  หมู่ 4  ต.แม่คือ  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0892627735 
                                    "
6-50-05-09/1-0019,วิสาหกิจชุมชนกลุ่มเลี้ยงจิ้งหรีดตำบลแม่คือ,"
                                        77  หมู่ 6  ต.แม่คือ  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0816723683 
                                    "
6-50-05-09/1-0020,วิสาหกิจชุมชนกลุ่มผลิตปุ๋ยหมักตำบลแม่คือ,"
                                        25  หมู่ 1  ต.แม่คือ  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0965907213 
                                    "
6-50-05-09/1-0022,วิสาหกิจชุมชนกลุ่มแปรรูปพืชสมุนไพรตำบลแม่คือ,"
                                        8/1  หมู่ 2  ต.แม่คือ  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0988537912 
                                    "
6-50-05-10/1-0015,วิสาหกิจชุมชนสิ่งประดิษฐ์จากไม้บ้านแม่จ้อง,"
                                        71/1  หมู่ 5  ต.ตลาดใหญ่  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0643173591 
                                    "
6-50-05-10/1-0016,วิสาหกิจชุมชนกลุ่มส่งเสริมอาชีพการเกษตรต้นไม้งาม,"
                                        20  หมู่ 1  ต.ตลาดใหญ่  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0861923799 
                                    "
6-50-05-10/1-0017,วิสาหกิจชุมชนกลุ่มแม่บ้านเกษตรกรแปรรูปผลผลิตทางการเกษตรและสมุนไพรพื้นบ้านตลาดใหญ่,"
                                        26/1  หมู่ 4  ต.ตลาดใหญ่  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-05-11/1-0007,วิสาหกิจชุมชนกลุ่มเกษตรกรตำบลแม่ฮ้อยเงิน,"
                                        130  หมู่ 4  ต.แม่ฮ้อยเงิน  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0892662920 
                                    "
6-50-05-11/1-0018,วิสาหกิจชุมชนนาแปลงใหญ่ตำบลแม่ฮ้อยเงิน,"
                                        71  หมู่ 2  ต.แม่ฮ้อยเงิน  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-05-11/1-0019,วิสาหกิจชุมชนเชียงใหม่แผ่นดินทอง,"
                                        71/1  หมู่ 3  ต.แม่ฮ้อยเงิน  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0831528799 
                                    "
6-50-05-11/1-0020,วิสาหกิจชุมชนร่วมใจพัฒนาการเกษตร แม่ฮ้อยเงิน 1,"
                                        99/4  หมู่ 3  ต.แม่ฮ้อยเงิน  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0827624289 
                                    "
6-50-05-12/1-0001,วิสาหกิจชุมชนกลุ่มแม่บ้านเกษตรกรบ้านป่าไผ่,"
                                        4  หมู่ 2  ต.แม่โป่ง  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 053840102 
                                    "
6-50-05-12/1-0002,วิสาหกิจชุมชนนพรัตน์สิ่งทอ (กลุ่มแม่บ้านแม่โป่ง หมู่ 5),"
                                        126  หมู่ 5  ต.แม่โป่ง  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 053840414 
                                    "
6-50-05-12/1-0026,วิสาหกิจชุมชนนิเวทย์กระเทียมดอง,"
                                        190  หมู่ 2  ต.แม่โป่ง  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0818857721 
                                    "
6-50-05-12/1-0027,วิสาหกิจชุมชนกลุ่มเพาะเห็ดรวมใจบ้านห้วยบ่อทอง,"
                                        160/1  หมู่ 10  ต.แม่โป่ง  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0856165348 
                                    "
6-50-05-12/1-0028,วิสาหกิจชุมชนศูนย์ข้าวชุมชนห้วยฮ่องไคร้ (บ้านป่าไม้แดง),"
                                        36/1  หมู่ 9  ต.แม่โป่ง  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 011074643 
                                    "
6-50-05-12/1-0029,วิสาหกิจชุมชนกลุ่มผลิตข้าวชุมชนบ้านต้นผึ้ง,"
                                        43  หมู่ 7  ต.แม่โป่ง  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0835668926 
                                    "
6-50-05-12/1-0030,วิสาหกิจชุมชนนาแปลงใหญ่อำเภอดอยสะเก็ด,"
                                        1/1  หมู่ 2  ต.แม่โป่ง  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0819512125 
                                    "
6-50-05-12/1-0031,วิสาหกิจชุมชนกลุ่มแม่บ้านเกษตรปลอดภัยสวนผาผึ้ง,"
                                        189/1  หมู่ 10  ต.แม่โป่ง  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0649504590 
                                    "
6-50-05-12/1-0032,วิสาหกิจชุมชนกลุ่มดินเพาะกว่างห้วยบ่อทอง,"
                                        145  หมู่ 10  ต.แม่โป่ง  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-05-12/1-0033,วิสาหกิจชุมชนกลุ่มเพาะเห็ดบ้านตลาดขี้เหล็ก,"
                                        70  หมู่ 1  ต.แม่โป่ง  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0617921464 
                                    "
6-50-05-12/1-0034,วิสาหกิจชุมชนป่าต้นผึ้ง,"
                                        85  หมู่ 7  ต.แม่โป่ง  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0861917722 
                                    "
6-50-05-12/1-0035,วิสาหกิจชุมชนร่วมใจพัฒนาการเกษตร แม่โป่ง2,"
                                        32  หมู่ 7  ต.แม่โป่ง  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0810229221 
                                    "
6-50-05-12/1-0036,วิสาหกิจชุมชนร่วมใจพัฒนาการเกษตร แม่โป่ง1,"
                                        78/1  หมู่ 4  ต.แม่โป่ง  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0995606624 
                                    "
6-50-05-12/1-0037,วิสาหกิจชุมชนกลุ่มเพาะกล้าไม้ บ้านห้วยบ่อทอง,"
                                           หมู่ 10  ต.แม่โป่ง  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-05-13/1-0003,วิสาหกิจชุมชนกลุ่มผลิตภัณฑ์สมุนไพรบ้านโป่งสามัคคี,"
                                        104/2  หมู่ 6  ต.ป่าเมี่ยง  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 053389136 
                                    "
6-50-05-13/1-0007,วิสาหกิจชุมชนกลุ่มผู้ผลิตและแปรรูปเห็ดหอมบ้านปางน้ำถุ,"
                                        6  หมู่ 1  ต.ป่าเมี่ยง  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 071923285 
                                    "
6-50-05-13/1-0033,วิสาหกิจชุมชนไหมป่าเมี่ยง,"
                                        101/2  หมู่ 6  ต.ป่าเมี่ยง  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 053389220 
                                    "
6-50-05-13/1-0034,วิสาหกิจชุมชนเกษตรอินทรีย์ผสมผสานบ้านแม่หวาน,"
                                        16/2  หมู่ 3  ต.ป่าเมี่ยง  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0899517222 
                                    "
6-50-05-13/1-0036,วิสาหกิจชุมชนแปรรูปพืชผลทางการเกษตรบ้านแม่หวาน,"
                                        11  หมู่ 3  ต.ป่าเมี่ยง  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-05-13/1-0037,วิสาหกิจชุมชนกลุ่มผลิตและแปรรูปกาแฟป่าเมี่ยง,"
                                        132  หมู่ 5  ต.ป่าเมี่ยง  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0861855411 
                                    "
6-50-05-13/1-0038,วิสาหกิจชุมชนสมุนไพรสวนดงเย็น,"
                                        211/1  หมู่ 4  ต.ป่าเมี่ยง  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0871951551 
                                    "
6-50-05-13/1-0039,วิสาหกิจชุมชนกลุ่มส่งเสริมอาชีพการเกษตร 98 บ้านโป่งดิน,"
                                        164  หมู่ 4  ต.ป่าเมี่ยง  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0946264559 
                                    "
6-50-05-13/1-0040,วิสาหกิจชุมชนกลุ่มพลังงานทดแทนเชียงใหม่,"
                                        269  หมู่ 4  ต.ป่าเมี่ยง  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0851071219 
                                    "
6-50-05-14/1-0001,วิสาหกิจชุมชนเห็ดหอมเทพเสด็จ,"
                                        44  หมู่ 7  ต.เทพเสด็จ  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 092655385 
                                    "
6-50-05-14/1-0003,วิสาหกิจชุมชนกลุ่มผู้เลี้ยงผึ้งโก๋นบ้านกำแพงหิน,"
                                        110  หมู่ 8  ต.เทพเสด็จ  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 053229813 
                                    "
6-50-05-14/1-0004,วิสาหกิจชุมชนบ้านแม่ตอนหลวง,"
                                        40/1  หมู่ 4  ต.เทพเสด็จ  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 053315099 
                                    "
6-50-05-14/1-0007,วิสาหกิจชุมชนกาแฟสดแม่ตอน,"
                                        94/1  หมู่ 4  ต.เทพเสด็จ  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0892617833 
                                    "
6-50-05-14/1-0021,วิสาหกิจชุมชนกาแฟเทพเสด็จและการแปรรูปกาแฟ,"
                                        69/2  หมู่ 7  ต.เทพเสด็จ  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0636455625 
                                    "
6-50-05-14/1-0022,วิสาหกิจชุมชนไม้ดอกกำแพงหิน,"
                                        78/1  หมู่ 8  ต.เทพเสด็จ  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0892617833 
                                    "
6-50-05-14/1-0023,วิสาหกิจชุมชนกลุ่มผู้ปลูกและผลิตกาแฟอินทรีย์บ้านปางบง,"
                                        4/1  หมู่ 1  ต.เทพเสด็จ  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0613281447 
                                    "
6-50-05-14/1-0024,วิสาหกิจชุมชนรุ่งเรืองพัฒนากาแฟเทพเสด็จ,"
                                        20  หมู่ 1  ต.เทพเสด็จ  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0991353625 
                                    "
6-50-05-14/1-0025,วิสาหกิจชุมชนกาแฟดอยป่าเมี่ยง เทพเสด็จ,"
                                        59  หมู่ 1  ต.เทพเสด็จ  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0836275982 
                                    "
6-50-05-14/1-0026,วิสาหกิจชุมชนแปรรูปกาแฟเทพเสด็จ (บ้านปางไฮ),"
                                        3  หมู่ 7  ต.เทพเสด็จ  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0812871774 
                                    "
6-50-05-14/1-0027,วิสาหกิจชุมชนปางบงโฮมสเตย์,"
                                        9/2  หมู่ 1  ต.เทพเสด็จ  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0899971954 
                                    "
6-50-05-14/1-0028,วิสาหกิจชุมชนแปลงใหญ่ผึ้งโพรงเทพเสด็จ,"
                                        57/3  หมู่ 5  ต.เทพเสด็จ  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0909797879 
                                    "
6-50-05-14/1-0029,วิสาหกิจชุมชนรวมใจพัฒนากาแฟเทพเสด็จ,"
                                        1  หมู่ 7  ต.เทพเสด็จ  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0898905200 
                                    "
6-50-05-14/1-0030,วิสาหกิจชุมชนชาดอยสะเก็ด,"
                                        52/2  หมู่ 5  ต.เทพเสด็จ  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0899529831 
                                    "
6-50-05-14/1-0031,วิสาหกิจชุมชนกลุ่มผู้ผลิตกาแฟและเห็ดเศรษฐกิจ,"
                                        20/1  หมู่ 1  ต.เทพเสด็จ  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0652095386 
                                    "
6-50-05-14/1-0032,วิสาหกิจชุมชนเพาะต้นกล้ากาแฟและการแปรรูปกาแฟเทพเสด็จ,"
                                        67/1  หมู่ 7  ต.เทพเสด็จ  อ.ดอยสะเก็ด  จ.เชียงใหม่ โทรศัพท์ 0807932599 
                                    "
