Field1,Field2,Field3
6-63-04-02/1-0071,วิสาหกิจชุมชนกลุ่มเลี้ยงโคและผลิตพันธุ์ข้าวโพดนิคมเศรษฐกิจพอเพียง ม.7,"
                                        100  หมู่ 7  ต.แม่จะเรา  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 0892709412 
                                    "
6-63-04-02/1-0074,วิสาหกิจชุมชนกลุ่มผู้เลี้ยงโคสันหล่อ ม.3,"
                                        153/2  หมู่ 3  ต.แม่จะเรา  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 055553468 
                                    "
6-63-04-02/1-0081,วิสาหกิจชุมชนกลุ่มเกษตรกรผู้เลี้ยงสัตว์และปลูกพืช ม.6 แม่จะเรา,"
                                        274/9  หมู่ 6  ต.แม่จะเรา  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 0810427135 
                                    "
6-63-04-02/1-0095,วิสาหกิจชุมชนสุรากลั่นชุมชนแสงทอง,"
                                        339  หมู่ 3  ต.แม่จะเรา  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 0810370086 
                                    "
6-63-04-02/1-0107,วิสาหกิจชุมชนศูนย์ผลิตเมล็ดพันธุ์ข้าวชุมชน หมู่ 6 ,"
                                        169/1  หมู่ 6  ต.แม่จะเรา  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 0844908266 
                                    "
6-63-04-02/1-0110,วิสาหกิจชุมชนกลุ่มถักกระเป๋าเชือกร่มบ้านห้วยบง,"
                                        312  หมู่ 8  ต.แม่จะเรา  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 0824069964 
                                    "
6-63-04-02/1-0113,วิสาหกิจชุมชนกลุ่มทอผ้าพื้นเมือง ข้าวกล้องไร้เบอร์รี่ บ้านแม่จะเรา ม.1,"
                                        158  หมู่ 1  ต.แม่จะเรา  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 0901472259 
                                    "
6-63-04-02/1-0114,วิสาหกิจชุมชนผู้ผลิตและรวบรวมแม่จะเราเมล็ดพันธุ์พืช,"
                                        45/2  หมู่ 2  ต.แม่จะเรา  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 0817407838 
                                    "
6-63-04-02/1-0115,วิสาหกิจชุมชนผู้ใช้น้ำด้วยไฟฟ้าบ้านวังผา,"
                                        363  หมู่ 4  ต.แม่จะเรา  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 0828787265 
                                    "
6-63-04-02/1-0116,วิสาหกิจชุมชนกลุ่มเกษตรกรเลี้ยงสัตว์ทุ่งหลวง,"
                                        331/3  หมู่ 5  ต.แม่จะเรา  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 0806872985 
                                    "
6-63-04-02/1-0117,วิสาหกิจชุมชนตะวันรุ่งทุ่งแม่จะเรา,"
                                        81/2  หมู่ 3  ต.แม่จะเรา  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 0942934295 
                                    "
6-63-04-02/1-0118,วิสาหกิจชุมชนผู้ผลิตและแปรรูปผลิตภัณฑ์น้ำปูบ้านแม่จะเรา,"
                                        45/2  หมู่ 2  ต.แม่จะเรา  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 0810370086 
                                    "
6-63-04-02/1-0119,วิสาหกิจชุมชนกลุ่มเลี้ยงวัวเกษตรกร หมู่ 3,"
                                        165  หมู่ 3  ต.แม่จะเรา  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 0821670709 
                                    "
6-63-04-02/1-0120,วิสาหกิจชุมชนกลุ่มแปรรูปกล้วยแม่จะเราบ้านทุ่ง หมู่ที่ 6,"
                                        239  หมู่ 6  ต.แม่จะเรา  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 0872062975 
                                    "
6-63-04-03/1-0001,วิสาหกิจชุมชนตำบลขะเนจื้อ,"
                                        4/3  หมู่ 6  ต.ขะเนจื้อ  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 072080255 
                                    "
6-63-04-03/1-0003,วิสาหกิจชุมชนกลุ่มทำสุรากลั่นชุมชนกุญแจทอง,"
                                        194  หมู่ 11  ต.ขะเนจื้อ  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 0848184495 
                                    "
6-63-04-03/1-0017,วิสาหกิจชุมชนพริกแกงจากพริกกะเหรี่ยงบ้านพะละ,"
                                        16/2  หมู่ 3  ต.ขะเนจื้อ  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 0931737140 
                                    "
6-63-04-04/1-0010,วิสาหกิจชุมชนสร้างป่าสร้างรายได้หมู่บ้านพะละดอ,"
                                        39/2  หมู่ 4  ต.แม่ตื่น  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 0635762393 
                                    "
6-63-04-05/1-0010,วิสาหกิจชุมชนกลุ่มผู้เลี้ยงโคบ้านกิ่วสามล้อ,"
                                        297/6  หมู่ 4  ต.สามหมื่น  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 0969488978 
                                    "
6-63-04-06/1-0004,วิสาหกิจชุมชนกลุ่มผู้ผลิตเมล็ดพันธุ์ข้าวชุมชนบ้านสันป่าไร่,"
                                        37/1  หมู่ 5  ต.พระธาตุ  อ.แม่ระมาด  จ.ตาก โทรศัพท์   
                                    "
6-63-04-06/1-0005,วิสาหกิจชุมชนกลุ่มแม่บ้านเกษตรกรทุ่งมะขามป้อม,"
                                        105/4  หมู่ 4  ต.พระธาตุ  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 055585583 
                                    "
6-63-04-06/1-0008,วิสาหกิจชุมชนกลุ่มตัดเย็บเสื้อผ้า-ผ้าห่ม,"
                                        4  หมู่ 5  ต.พระธาตุ  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 055585176 
                                    "
6-63-04-06/1-0027,วิสาหกิจชุมชนกล้วยอบน้ำผึ้งสันป่าไร่,"
                                        4  หมู่ 5  ต.พระธาตุ  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 055585176 
                                    "
6-63-04-06/1-0028,วิสาหกิจชุมชนแปรรูปสมุนไพรปลูกรัก,"
                                        348  หมู่ 4  ต.พระธาตุ  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 0826657143 
                                    "
6-63-04-06/1-0029,วิสาหกิจชุมชนกลุ่มส่งเสริมการอนุรักษ์และแปรรูปสมุนไพรหมู่บ้านจบปิ,"
                                        70/5  หมู่ 3  ต.พระธาตุ  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 0966781089 
                                    "
6-63-04-06/1-0030,วิสาหกิจชุมชนท่องเที่ยวเชิงเกษตรบ้านห้วยสลุง,"
                                        178/2  หมู่ 8  ต.พระธาตุ  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 0959967749 
                                    "
9-63-04-01/1-0010,วิสาหกิจชุมชนกลุ่มเกษตรกรผู้ผลิตเมล็ดพันธุ์ข้าว กข.6,"
                                        222/4  หมู่ 4  ต.แม่ระมาด  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 0850496216 
                                    "
9-63-04-01/1-0011,วิสาหกิจชุมชนกลุ่มดินและปุ๋ยชุมชน,"
                                        198/2  หมู่ 6  ต.แม่ระมาด  อ.แม่ระมาด  จ.ตาก โทรศัพท์   
                                    "
9-63-04-01/1-0013,วิสาหกิจชุมชนกลุ่มแปรรูปสมุนไพรพื้นบ้าน หมู่ที่ 6 แม่ระมาด,"
                                        285  หมู่ 6  ต.แม่ระมาด  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 0817407514 
                                    "
9-63-04-01/1-0014,วิสาหกิจชุมชนกลุ่มสมุนไพรเพื่อสุขภาพสันเก้ากอม,"
                                        240  หมู่ 6  ต.แม่ระมาด  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 0899593429 
                                    "
9-63-04-01/1-0015,วิสาหกิจชุมชนผู้เลี้ยงโคแม่ระมาดพัฒนา 327,"
                                        276  หมู่ 3  ต.แม่ระมาด  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 0872079674 
                                    "
9-63-04-01/1-0016,วิสาหกิจชุมชนกลุ่มแม่บ้านเคหกิจสันเก้ากอม หมู่ 6,"
                                        219  หมู่ 6  ต.แม่ระมาด  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 0821666159 
                                    "
9-63-04-01/1-0017,วิสาหกิจชุมชนกลุ่มแปรรูปเกษตรพื้นบ้าน,"
                                        119  หมู่ 5  ต.แม่ระมาด  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 0835710496 
                                    "
9-63-04-01/1-0019,วิสาหกิจชุมชนกลุ่มเกษตรกรแม่ระมาด(บ้านโฮ้งฟาร์ม),"
                                        119  หมู่ 5  ต.แม่ระมาด  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 0835710496 
                                    "
9-63-04-01/1-0021,วิสาหกิจชุมชนขุนเขาแม่ระมาด,"
                                        155  หมู่ 13  ต.ขะเนจื้อ  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 0845222690 
                                    "
9-63-04-02/1-0010,วิสาหกิจชุมชนกลุ่มเลี้ยงโคขุนร่มโพธิ์พัฒนา,"
                                        49/1  หมู่ 1  ต.แม่จะเรา  อ.แม่ระมาด  จ.ตาก โทรศัพท์   
                                    "
9-63-04-02/1-0011,วิสาหกิจชุมชนกลุ่มสหกรณ์เลี้ยงโคบ้านใหม่ หมู่ 9 แม่จะเรา,"
                                        46/5  หมู่ 9  ต.แม่จะเรา  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 0862079126 
                                    "
9-63-04-02/1-0013,วิสาหกิจชุมชนโครงการพริกไทยแม่จะเรา,"
                                        203/6  หมู่ 6  ต.แม่จะเรา  อ.แม่ระมาด  จ.ตาก โทรศัพท์   
                                    "
9-63-04-02/1-0015,วิสาหกิจชุมชนบ้านห้วยบงใหม่ หมู่ 7,"
                                        45/3  หมู่ 7  ต.แม่จะเรา  อ.แม่ระมาด  จ.ตาก โทรศัพท์   
                                    "
9-63-04-02/1-0016,วิสาหกิจชุมชนกลุ่มสามัคคีเลี้ยงโค ม.3 ต.แม่จะเรา,"
                                        145/3  หมู่ 3  ต.แม่จะเรา  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 0812880257 
                                    "
9-63-04-02/1-0017,วิสาหกิจชุมชนงอกงามปลอดสารพิษ,"
                                        120/2  หมู่ 1  ต.แม่จะเรา  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 0819916930 
                                    "
9-63-04-03/1-0012,วิสาหกิจชุมชนกลุ่มสมุนไพรปันรักปันล้าน,"
                                        163  หมู่ 8  ต.ขะเนจื้อ  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 0878504017 
                                    "
9-63-04-04/1-0010,วิสาหกิจชุมชนผู้ผลิตและแปรรูปกาแฟอราบิก้าบ้านเลอตอ,"
                                        21  หมู่ 13  ต.แม่ตื่น  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 0884388976 
                                    "
9-63-04-05/1-0013,วิสาหกิจชุมชนสร้างป่าสร้างรายได้บ้านขุนห้วยแม่ท้อ,"
                                        86/3  หมู่ 2  ต.สามหมื่น  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 0939039702 
                                    "
9-63-04-06/1-0011,วิสาหกิจชุมชนบ้านพะกอยวา,"
                                        78  หมู่ 6  ต.พระธาตุ  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 0942259780 
                                    "
9-63-04-06/1-0013,วิสาหกิจชุมชนการท่องเที่ยวชุมชนบ้านป่าไร่เหนือ,"
                                        100/1  หมู่ 3  ต.พระธาตุ  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 0613301756 
                                    "
9-63-04-06/1-0014,วิสาหกิจชุมชนกลุ่มปลูกกาแฟบ้านพะนิกี,"
                                        22/3  หมู่ 7  ต.พระธาตุ  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 0969912212 
                                    "
9-63-04-06/1-0015,วิสาหกิจชุมชนห้วยกระทิง,"
                                        348  หมู่ 4  ต.พระธาตุ  อ.แม่ระมาด  จ.ตาก โทรศัพท์ 0826657143 
                                    "
