Field1,Field2,Field3
6-50-03-01/1-0103,วิสาหกิจชุมชนเลี้ยงวัวบ้านท้องฝาย,"
                                        30/2  หมู่ 8  ต.ช่างเคิ่ง  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0871878149 
                                    "
6-50-03-01/1-0111,วิสาหกิจชุมชนลำไยแปลงใหญ่แม่ปาน-สันเกี๋ยง,"
                                        13  หมู่ 17  ต.ช่างเคิ่ง  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-03-01/1-0112,วิสาหกิจชุมชนไผ่เงินล้าน บ้านใหม่-ห้วยริน,"
                                        29  หมู่ 9  ต.ช่างเคิ่ง  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0613640499 
                                    "
6-50-03-01/1-0114,วิสาหกิจชุมชนพืชผักเพื่อสุขภาพ,"
                                        109  หมู่ 9  ต.ช่างเคิ่ง  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-03-01/1-0116,วิสาหกิจชุมชนเกษตรกรผู้เลี้ยงสัตว์เพื่อการค้า,"
                                        22  หมู่ 5  ต.ช่างเคิ่ง  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0910677361 
                                    "
6-50-03-01/1-0118,วิสาหกิจชุมชนกลุ่มทอผ้าฝ้ายเปลือกไม้บ้านต่อเรือ,"
                                        136  หมู่ 2  ต.ช่างเคิ่ง  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0894321870 
                                    "
6-50-03-01/1-0119,วิสาหกิจชุมชนกลุมผู้เลี่ยงหมูบ้านบนนา,"
                                        261/1  หมู่ 14  ต.ช่างเคิ่ง  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0828997462 
                                    "
6-50-03-01/1-0120,วิสาหกิจชุมชนผู้ปลูกพืชผักและพืชไร่บ้านท้องฝาย,"
                                        74/3  หมู่ 8  ต.ช่างเคิ่ง  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-03-01/1-0121,วิสาหกิจชุมชนศูนย์จำหน่ายผลิตภัณฑ์ไผ่และสินค้าแม่แจ่ม,"
                                        319  หมู่ 12  ต.ช่างเคิ่ง  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0819507010 
                                    "
6-50-03-01/1-0122,วิสาหกิจชุมชนอินทรีย์วิถีไทยบ้านสันหนอง,"
                                        52/2  หมู่ 3  ต.ช่างเคิ่ง  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0810212270 
                                    "
6-50-03-01/1-0123,วิสาหกิจชุมชนแปรรูปและผลิตภัณฑ์ไผ่แม่แจ่ม,"
                                        118  หมู่ 7  ต.ช่างเคิ่ง  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0890380047 
                                    "
6-50-03-01/1-0124,วิสาหกิจชุมชนเกษตรอินทรีย์บ้านบนนา,"
                                        207/1  หมู่ 14  ต.ช่างเคิ่ง  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-03-01/1-0126,วิสาหกิจชุมชนแจ่มจรัญจันทร์ศรีแปรรูปสมุนไพร แม่แจ่ม,"
                                        33  หมู่ 16  ต.ช่างเคิ่ง  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0915210101 
                                    "
6-50-03-01/1-0127,วิสาหกิจชุมชนเกษตรผสมผสานบ้านใหม่ปูเลย,"
                                        76  หมู่ 19  ต.ช่างเคิ่ง  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0623082796 
                                    "
6-50-03-01/1-0128,วิสาหกิจชุมชนผู้เลี้ยงหมูแม่ปาน - สันเกี๋ยง,"
                                        163  หมู่ 10  ต.ช่างเคิ่ง  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0932349568 
                                    "
6-50-03-01/1-0129,วิสาหกิจชุมชนแม่แจ่มกรีนเฮ้าส์,"
                                        71  หมู่ 3  ต.ช่างเคิ่ง  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0612731989 
                                    "
6-50-03-01/1-0130,วิสาหกิจชุมชนสมุนไพรทางเลือกบ้านสันหนอง,"
                                        113  หมู่ 3  ต.ช่างเคิ่ง  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-03-01/1-0131,วิสาหกิจชุมชนสมุนไพรทางเลือกชุมชนเทศบาลแม่แจ่ม,"
                                        100/1  หมู่ 12  ต.ช่างเคิ่ง  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0861873569 
                                    "
6-50-03-02/1-0001,วิสาหกิจชุมชนกลุ่มทอผ้าลายโบราณบ้านยางหลวง,"
                                        3  หมู่ 6  ต.ท่าผา  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 053485133 
                                    "
6-50-03-02/1-0020,วิสาหกิจชุมชนกลุ่มเลี้ยงสัตว์บ้านป่าแดด,"
                                        97  หมู่ 4  ต.ท่าผา  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 061857414 
                                    "
6-50-03-02/1-0024,วิสาหกิจชุมชนกลุ่มทอผ้าบ้านป่าแดด หมู่ 4 เหล่าป่าก่อ,"
                                        42  หมู่ 4  ต.ท่าผา  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 053485151 
                                    "
6-50-03-02/1-0047,วิสาหกิจชุมชนกลุ่มทอผ้าตีนจกส่งออกบ้านไร่,"
                                        103  หมู่ 10  ต.ท่าผา  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0884058808 
                                    "
6-50-03-02/1-0048,วิสาหกิจชุมชนกลุ่มเลี้ยงโคขุนบ้านใหม่อาราม,"
                                        7/1  หมู่ 4  ต.ท่าผา  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-03-02/1-0056,วิสาหกิจชุมชนกลุ่มเกษตรกรผู้เลี้ยงวัวบ้านไร่,"
                                        138  หมู่ 10  ต.ท่าผา  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-03-02/1-0057,วิสาหกิจชุมชนกลุ่มทำและขายสุรากลั่นชุมชน,"
                                        27  หมู่ 10  ต.ท่าผา  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-03-02/1-0059,วิสาหกิจชุมชนกลุ่มเลี้ยงวัวลูกผสมบ้านนาเรือน/ป่าหนาด,"
                                        128  หมู่ 9  ต.ท่าผา  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0861895551 
                                    "
6-50-03-02/1-0060,วิสาหกิจชุมชนกลุ่มปลูกข้าวโพดบ้านไร่ แม่แจ่ม,"
                                        184/1  หมู่ 10  ต.ท่าผา  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0613099746 
                                    "
6-50-03-02/1-0064,วิสาหกิจชุมชนกลุ่มเส้นฝ้ายลายปักบ้านห้วยไห,"
                                        155  หมู่ 7  ต.ท่าผา  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-03-02/1-0068,วิสาหกิจชุมชนกาแฟเหนือฝัน,"
                                        12/1  หมู่ 1  ต.ท่าผา  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0882677753 
                                    "
6-50-03-02/1-0069,วิสาหกิจชุมชนเลี้ยงวัวบ้านห้วยไห,"
                                        155  หมู่ 7  ต.ท่าผา  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0813879554 
                                    "
6-50-03-02/1-0073,วิสาหกิจชุมชนกลุ่มผลิตพืชเพื่อการส่งออกท่าผา,"
                                        50  หมู่ 10  ต.ท่าผา  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0806742134 
                                    "
6-50-03-02/1-0074,วิสาหกิจชุมชนกลุ่มเลี้ยงวัวยางหลวง,"
                                        122  หมู่ 6  ต.ท่าผา  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-03-02/1-0077,วิสาหกิจชุมชนไผ่เงินล้าน บ้านแม่ยางส้าน,"
                                        78  หมู่ 8  ต.ท่าผา  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-03-02/1-0078,วิสาหกิจชุมชนผู้ปลูกหอมแดงอำเภอแม่แจ่ม,"
                                        142  หมู่ 5  ต.ท่าผา  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-03-02/1-0080,วิสาหกิจชุมชนเลี้ยงสัตว์บ้านยางหลวง,"
                                        8/1  หมู่ 6  ต.ท่าผา  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0899984540 
                                    "
6-50-03-02/1-0081,วิสาหกิจชุมชนกลุ่มส่งเสริมอาชีพเลี้ยงวัวท่าม่อนหมุม2,"
                                        189  หมู่ 6  ต.ท่าผา  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0956947376 
                                    "
6-50-03-02/1-0082,วิสาหกิจชุมชนวิถีล้านนาบ้านไร่ ห้วยบง,"
                                        101  หมู่ 10  ต.ท่าผา  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0892626212 
                                    "
6-50-03-02/1-0083,วิสาหกิจชุมชนผู้เลี้ยงและพัฒนาสายพันธ์ุโค กระบือ อำเภอแม่แจ่ม,"
                                        39  หมู่ 5  ต.ท่าผา  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0876590803 
                                    "
6-50-03-02/1-0084,วิสาหกิจชุมชนผลิตภัณฑ์เฟอร์นิเจอร์ไม้สักแกะสลักบ้านห้วยไห ตำบลท่าผา,"
                                        13/1  หมู่ 7  ต.ท่าผา  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0813879554 
                                    "
6-50-03-02/1-0085,วิสาหกิจชุมชนอินทรีย์ดอยท่าผาบ้านแม่ยางส้าน,"
                                        170  หมู่ 8  ต.ท่าผา  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0972164938 
                                    "
6-50-03-02/1-0086,วิสาหกิจชุมชนผลิตภัณฑ์เฟอร์นิเจอร์ไม้แกะสลักบ้านสามสบ,"
                                        105  หมู่ 1  ต.ท่าผา  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0802864070 
                                    "
6-50-03-02/1-0087,วิสาหกิจชุมชนผู้เลี้้ยงวัวบ้านผานัง,"
                                        14  หมู่ 2  ต.ท่าผา  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-03-03/1-0001,วิสาหกิจชุมชนกลุ่มทอผ้าตีนจกบ้านสองธาร,"
                                        76  หมู่ 1  ต.บ้านทับ  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 099534100 
                                    "
6-50-03-03/1-0023,วิสาหกิจชุมชนธนาคารพันธุ์ไม้บ้านเคาะท่า ,"
                                        267  หมู่ 7  ต.บ้านทับ  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-03-03/1-0036,วิสาหกิจชุมชนไผ่เงินล้านตำบลบ้านทับ,"
                                        4  หมู่ 5  ต.บ้านทับ  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-03-03/1-0038,วิสาหกิจชุมชนเลี้ยงสัตว์ปีกบ้านแม่แอบ,"
                                        243  หมู่ 7  ต.บ้านทับ  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0630460744 
                                    "
6-50-03-03/1-0040,วิสาหกิจชุมชนเกษตรกรผู้ปลูกกาแฟบ้านกองกาย ต.บ้านทับ,"
                                        18  หมู่ 10  ต.บ้านทับ  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0910716361 
                                    "
6-50-03-03/1-0041,วิสาหกิจชุมชนกลุ่มเลี้ยงโคบ้านสบลอง,"
                                        37  หมู่ 5  ต.บ้านทับ  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0855759741 
                                    "
6-50-03-04/1-0042,วิสาหกิจชุมชนกลุ่มอนุรักษ์วิถีชีวิตและวัฒนธรรมการเลี้ยงช้างในป่าบ้านห้วยผักกุด,"
                                        61  หมู่ 12  ต.แม่ศึก  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0873019519 
                                    "
6-50-03-04/1-0059,วิสาหกิจชุมชนกลุ่มแปรรูปผลผลิตทางการเกษตรบ้านนาฮ่อง,"
                                        171  หมู่ 5  ต.แม่ศึก  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-03-04/1-0069,วิสาหกิจชุมชนกลุ่มทอผ้าบ้านนาฮ่อง,"
                                        42/2  หมู่ 5  ต.แม่ศึก  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-03-04/1-0070,วิสาหกิจชุมชนกลุ่มผู้ปลูกไม้ผลบ้านแม่หยอด,"
                                        163  หมู่ 9  ต.แม่ศึก  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0806737983 
                                    "
6-50-03-04/1-0091,วิสาหกิจชุมชนกองทุนปุ๋ยและยา 1,"
                                        301  หมู่ 5  ต.แม่ศึก  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0918546776 
                                    "
6-50-03-04/1-0096,วิสาหกิจชุมชนกลุ่มแปรรูปมะขามป้อมบ้านห้วยผักกุด,"
                                        153  หมู่ 12  ต.แม่ศึก  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0613389037 
                                    "
6-50-03-04/1-0110,วิสาหกิจชุมชนกาแฟยอดไผ่,"
                                        40/3  หมู่ 17  ต.แม่ศึก  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0928216533 
                                    "
6-50-03-04/1-0111,วิสาหกิจชุมชนกลุ่มผ้าทอมือบ้านนากลางเหนือ,"
                                        96  หมู่ 2  ต.แม่ศึก  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-03-04/1-0114,วิสาหกิจชุมชนไผ่เงินล้าน บ้านกองกาน 67,"
                                        3  หมู่ 7  ต.แม่ศึก  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0929166421 
                                    "
6-50-03-04/1-0116,วิสาหกิจชุมชนกาแฟบ้านช้างห้วยผักกุด,"
                                        147  หมู่ 12  ต.แม่ศึก  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0622789736 
                                    "
6-50-03-04/1-0117,วิสาหกิจชุมชนกลุ่มเลี้ยงวัวบ้านห้วยขี้เปอะ,"
                                        1  หมู่ 17  ต.แม่ศึก  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0931833082 
                                    "
6-50-03-04/1-0119,วิสาหกิจชุมชนรวบรวมข้าวโพดผลิตจำหน่ายเมล็ดพันธุ์ 2020,"
                                        158  หมู่ 5  ต.แม่ศึก  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 095133637 
                                    "
6-50-03-04/1-0120,วิสาหกิจชุมชนผู้ปลูกไม้ผลปลอดสารพิษบ้านนาฮ่องใต้,"
                                        54  หมู่ 10  ต.แม่ศึก  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0989254647 
                                    "
6-50-03-04/1-0121,วิสาหกิจชุมชนพัฒนาโคกระบือบ้านนาฮ่อง,"
                                        312  หมู่ 5  ต.แม่ศึก  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0613016755 
                                    "
6-50-03-04/1-0122,วิสาหกิจชุมชนช้างคืนถิ่นบ้านห้วยบง,"
                                        62  หมู่ 12  ต.แม่ศึก  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-03-04/1-0123,วิสาหกิจชุมชนผู้ปลูกพืชผักปลอดภัย ตำบลแม่ศึก,"
                                        131  หมู่ 6  ต.แม่ศึก  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0932743899 
                                    "
6-50-03-05/1-0004,วิสาหกิจชุมชนกลุ่มทอผ้าบ้านแม่วาก,"
                                        89  หมู่ 6  ต.แม่นาจร  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 071805203 
                                    "
6-50-03-05/1-0023,วิสาหกิจชุมชนกลุ่มเลี้ยงไก่พื้นเมืองบ้านแม่นาจรเหนือ,"
                                        29  หมู่ 16  ต.แม่นาจร  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-03-05/1-0024,วิสาหกิจชุมชนกลุ่มเลี้ยงหมูบ้านแม่นาจรเหนือ,"
                                        203  หมู่ 16  ต.แม่นาจร  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-03-05/1-0027,วิสาหกิจชุมชนวิสาหกิจชุมชนสุกรพื้นเมืองบ้านแม่จรเหนือ,"
                                        74  หมู่ 16  ต.แม่นาจร  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0807245244 
                                    "
6-50-03-05/1-0031,วิสาหกิจชุมชนกลุ่มวิสาหกิจชุมชนบ้านแม่ซา กลุ่ม 3,"
                                        175  หมู่ 2  ต.แม่นาจร  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-03-05/1-0034,วิสาหกิจชุมชนกลุ่มปลูกข้าวโพดเลี้ยงสัตว์แม่มุ,"
                                        18  หมู่ 4  ต.แม่นาจร  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-03-05/1-0047,วิสาหกิจชุมชนกลุ่มเลี้ยงโคบ้านแม่วาก,"
                                        35/1  หมู่ 6  ต.แม่นาจร  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-03-05/1-0048,วิสาหกิจชุมชนอนุรักษ์และฟื้นฟูทรัพยากรธรรมชาติและสิ่งแวดล้อมบ้านแม่มะลอ,"
                                        53  หมู่ 9  ต.แม่นาจร  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0844855254 
                                    "
6-50-03-05/1-0049,วิสาหกิจชุมชนกลุ่มผู้ปลูกผักในโรงเรือน,"
                                        90/1  หมู่ 9  ต.แม่นาจร  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-03-05/1-0052,วิสาหกิจชุมชนเกษตรอินทรีย์ตำบลแม่นาจร,"
                                        69/2  หมู่ 17  ต.แม่นาจร  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0828966752 
                                    "
6-50-03-05/1-0054,วิสาหกิจชุมชนกลุ่มเลี้ยงหมูหลุมบ้านใหม่พัฒนาสันติ,"
                                        29/1  หมู่ 4  ต.แม่นาจร  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0933024382 
                                    "
6-50-03-05/1-0055,วิสาหกิจชุมชนกลุ่มวิสาหกิจชุมชนบ้านแม่ขอสบขอ,"
                                        54  หมู่ 11  ต.แม่นาจร  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0613103213 
                                    "
6-50-03-05/1-0056,วิสาหกิจชุมชนกลุ่มเกษตรกรบ้านแม่ซา(1),"
                                        43  หมู่ 2  ต.แม่นาจร  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0986891558 
                                    "
6-50-03-05/1-0057,วิสาหกิจชุมชนกลุ่ม 2 บ้านแม่ซา,"
                                        201  หมู่ 2  ต.แม่นาจร  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0913077566 
                                    "
6-50-03-05/1-0058,วิสาหกิจชุมชนผู้เลี้ยงสัตว์บ้านห้วยผา,"
                                        209  หมู่ 8  ต.แม่นาจร  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-03-05/1-0064,วิสาหกิจชุมชนไร่เจริญเดช แม่แจ่ม,"
                                        79  หมู่ 5  ต.แม่นาจร  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0895546994 
                                    "
6-50-03-05/1-0065,วิสาหกิจชุมชนเกษตรบ้านแม่เอาะเหนือ,"
                                        50  หมู่ 10  ต.แม่นาจร  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0936582589 
                                    "
6-50-03-05/1-0070,วิสาหกิจชุมชนกลุ่มแปรรูปน้ำเสาวรส,"
                                        43/1  หมู่ 6  ต.แม่นาจร  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-03-05/1-0075,วิสาหกิจชุมชนไผ่เงินล้าน บ้านแม่เฮาะ,"
                                        178  หมู่ 10  ต.แม่นาจร  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-03-05/1-0076,วิสาหกิจชุมชนไผ่เงินล้าน บ้านสบวาก-แม่วาก,"
                                        50  หมู่ 7  ต.แม่นาจร  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0861843655 
                                    "
6-50-03-05/1-0077,วิสาหกิจชุมชนไผ่เงินล้าน บ้านแม่ซา,"
                                        232  หมู่ 2  ต.แม่นาจร  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-03-05/1-0078,วิสาหกิจชุมชนวนเกษตรและไผ่ 9,"
                                        76  หมู่ 9  ต.แม่นาจร  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0892632124 
                                    "
6-50-03-05/1-0083,วิสาหกิจชุมชนกลุ่มเลี้ยงสัตว์แม่นาจรเหนือ,"
                                        237  หมู่ 16  ต.แม่นาจร  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0647475279 
                                    "
6-50-03-05/1-0084,วิสาหกิจชุมชนอินทรีย์วิถีไทยบ้านแม่สะงะ,"
                                        19  หมู่ 15  ต.แม่นาจร  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0613476456 
                                    "
6-50-03-05/1-0085,วิสาหกิจชุมชนทอผ้ากี่เอวบ้านป่าเกี๊ยะน้อย 2,"
                                        139  หมู่ 17  ต.แม่นาจร  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0636685297 
                                    "
6-50-03-05/1-0086,วิสาหกิจชุมชนบ้านแม่วาก,"
                                        11  หมู่ 6  ต.แม่นาจร  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-03-05/1-0087,วิสาหกิจชุมชนศูนย์การเรียนรู้เกษตรอินทรีย์บ้านแม่วาก,"
                                        140  หมู่ 6  ต.แม่นาจร  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0857108929 
                                    "
6-50-03-05/1-0088,วิสาหกิจชุมชนเกษตรกรผู้ปลูกพืชผักปลอดภัยบ้านมุใน,"
                                        32/1  หมู่ 4  ต.แม่นาจร  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0932732354 
                                    "
6-50-03-05/1-0089,วิสาหกิจชุมชนวิถีเกษตรยั่งยืนบ้านนอแง ตำบลแม่นาจร,"
                                        118  หมู่ 17  ต.แม่นาจร  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0931480430 
                                    "
6-50-03-05/1-0090,วิสาหกิจชุมชนกลุ่มผู้เลี้ยงสุกรบ้านห้วยผา,"
                                        66  หมู่ 8  ต.แม่นาจร  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0636188285 
                                    "
6-50-03-07/1-0030,วิสาหกิจชุมชนกลุ่มทอผ้าชนเผ่าลัวะบ้านปะ ปางหินฝน,"
                                        7/1  หมู่ 7  ต.ปางหินฝน  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0932260433 
                                    "
6-50-03-07/1-0043,วิสาหกิจชุมชนกลุ่มเกษตรยอดภูปางหินฝน 1,"
                                        91  หมู่ 10  ต.ปางหินฝน  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0821933180 
                                    "
6-50-03-07/1-0045,วิสาหกิจชุมชนกลุ่มทอผ้าและแปรรูปผลิตภัณฑ์ผ้ากอกน้อย,"
                                        50  หมู่ 8  ต.ปางหินฝน  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์ 0931813761 
                                    "
6-50-03-07/1-0047,วิสาหกิจชุมชนสร้างป่าสร้างรายได้ กองบอดใต้,"
                                        80  หมู่ 11  ต.ปางหินฝน  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-03-07/1-0049,วิสาหกิจชุมชนสร้างป่าสร้างรายได้ แม่ปิคี ปางหินฝน,"
                                        41  หมู่ 3  ต.ปางหินฝน  อ.แม่แจ่ม  จ.เชียงใหม่ โทรศัพท์   
                                    "
