Field1,Field2,Field3
6-50-23-03/1-0045,วิสาหกิจชุมชนโคเนื้อบ้านสหกรณ์ 2 แม่ออน,"
                                        85/2  หมู่ 2  ต.บ้านสหกรณ์  อ.แม่ออน  จ.เชียงใหม่ โทรศัพท์ 0896330784 
                                    "
6-50-23-03/1-0047,วิสาหกิจชุมชนสมุนไพรน้ำแร่แม่ออน,"
                                        13/3  หมู่ 1  ต.บ้านสหกรณ์  อ.แม่ออน  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-23-03/1-0048,วิสาหกิจชุมชนร่วมใจพัฒนาการเกษตรบ้านสหกรณ์6กลุ่มที่1,"
                                        1  หมู่ 6  ต.บ้านสหกรณ์  อ.แม่ออน  จ.เชียงใหม่ โทรศัพท์ 0805006695 
                                    "
6-50-23-03/1-0049,วิสาหกิจชุมชนร่วมใจพัฒนาการเกษตรบ้านสหกรณ์6กลุ่มที่2,"
                                        14  หมู่ 6  ต.บ้านสหกรณ์  อ.แม่ออน  จ.เชียงใหม่ โทรศัพท์ 0992256537 
                                    "
6-50-23-03/1-0050,วิสาหกิจชุมชนจุมออนละอ่อนรักษ์ถิ่น,"
                                        7/1  หมู่ 2  ต.บ้านสหกรณ์  อ.แม่ออน  จ.เชียงใหม่ โทรศัพท์ 053037088 
                                    "
6-50-23-04/1-0002,วิสาหกิจชุมชนแปรรูปสุมุนไพรบ้านแม่เตาดิน,"
                                        15  หมู่ 4  ต.ห้วยแก้ว  อ.แม่ออน  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-23-04/1-0010,วิสาหกิจชุมชนกลุ่มผึ้งหลวงแม่กำปอง,"
                                        67/43  หมู่    ต.ห้วยแก้ว  อ.แม่ออน  จ.เชียงใหม่ โทรศัพท์ 0833214835 
                                    "
6-50-23-04/1-0021,วิสาหกิจชุมชนกลุ่มหมอนสมุนไพรใบชาบ้านแม่กำปอง,"
                                        77  หมู่ 3  ต.ห้วยแก้ว  อ.แม่ออน  จ.เชียงใหม่ โทรศัพท์ 0857120242 
                                    "
6-50-23-04/1-0022,วิสาหกิจชุมชนกลุ่มไม้ดอกไม้ประดับบ้านธารทอง,"
                                        30/14  หมู่ 8  ต.ห้วยแก้ว  อ.แม่ออน  จ.เชียงใหม่ โทรศัพท์ 0822283208 
                                    "
6-50-23-04/1-0023,วิสาหกิจชุมชนกลุ่มผู้ปลูกชา-กาแฟ  คุณภาพบ้านป๊อก,"
                                        81/1  หมู่ 1  ต.ห้วยแก้ว  อ.แม่ออน  จ.เชียงใหม่ โทรศัพท์ 0811644877 
                                    "
6-50-23-04/1-0026,วิสาหกิจชุมชนน้ำผึ้งโพรงธรรมชาติบ้านปางจำปี,"
                                        54  หมู่ 7  ต.ห้วยแก้ว  อ.แม่ออน  จ.เชียงใหม่ โทรศัพท์ 0979489200 
                                    "
6-50-23-04/1-0028,วิสาหกิจชุมชนปางร่มพัฒนา,"
                                        104  หมู่ 8  ต.ห้วยแก้ว  อ.แม่ออน  จ.เชียงใหม่ โทรศัพท์ 0991566362 
                                    "
6-50-23-04/1-0029,วิสาหกิจชุมชนบ้านสวนเกษตรห้วยแก้ว,"
                                        19/35  หมู่ 5  ต.ห้วยแก้ว  อ.แม่ออน  จ.เชียงใหม่ โทรศัพท์ 0644304690 
                                    "
6-50-23-04/1-0030,วิสาหกิจชุมชนผลิตและแปรรูปผลผลิตทางการเกษตรปลอดสารตำบลห้วยแก้ว,"
                                        1/1  หมู่ 5  ต.ห้วยแก้ว  อ.แม่ออน  จ.เชียงใหม่ โทรศัพท์ 0843785471 
                                    "
6-50-23-04/1-0031,วิสาหกิจชุมชนสตรีตำบลห้วยแก้ว,"
                                        55/6  หมู่ 5  ต.ห้วยแก้ว  อ.แม่ออน  จ.เชียงใหม่ โทรศัพท์ 0868930775 
                                    "
6-50-23-04/1-0032,วิสาหกิจชุมชนเพื่อการท่องเที่ยวบ้านธารทอง,"
                                        14  หมู่ 8  ต.ห้วยแก้ว  อ.แม่ออน  จ.เชียงใหม่ โทรศัพท์ 0843745504 
                                    "
6-50-23-04/1-0033,วิสาหกิจชุมชนท่องเที่ยวเชิงเกษตรพืชสมุนไพรจังหวัดเชียงใหม่,"
                                        121  หมู่ 4  ต.ห้วยแก้ว  อ.แม่ออน  จ.เชียงใหม่ โทรศัพท์ 0819850190 
                                    "
6-50-23-05/1-0016,วิสาหกิจชุมชนกลุ่มประดิษฐ์และแปรรูปผลิตภัณฑ์ชุมชน,"
                                        61  หมู่ 5  ต.แม่ทา  อ.แม่ออน  จ.เชียงใหม่ โทรศัพท์ 0843780094 
                                    "
6-50-23-05/1-0029,วิสาหกิจชุมชนแม่ทาออร์แกนิค,"
                                        16/1  หมู่ 5  ต.แม่ทา  อ.แม่ออน  จ.เชียงใหม่ โทรศัพท์ 0899551041 
                                    "
6-50-23-05/1-0031,วิสาหกิจชุมชนแหนมแม่ทา-แหนมซี่โครงหมูกระดูกอ่อน,"
                                        97  หมู่ 1  ต.แม่ทา  อ.แม่ออน  จ.เชียงใหม่ โทรศัพท์ 0861943855 
                                    "
6-50-23-05/1-0032,วิสาหกิจชุมชนกลุ่มพัฒนาอาหารสัตว์ตำบลแม่ทา,"
                                        40  หมู่ 4  ต.แม่ทา  อ.แม่ออน  จ.เชียงใหม่ โทรศัพท์ 0844868946 
                                    "
6-50-23-05/1-0034,วิสาหกิจชุมชนกลุ่มแม่บ้านเกษตรกรตำบลแม่ทา,"
                                        144  หมู่ 4  ต.แม่ทา  อ.แม่ออน  จ.เชียงใหม่ โทรศัพท์ 0817653200 
                                    "
6-50-23-05/1-0035,วิสาหกิจชุมชนครัวเรือนอาสาวิถีพอเพียง,"
                                        13/2  หมู่ 3  ต.แม่ทา  อ.แม่ออน  จ.เชียงใหม่ โทรศัพท์ 0895537055 
                                    "
6-50-23-05/1-0037,วิสาหกิจชุมชนกลุ่มผู้เลี้ยงโคขุนบ้านป่านอต,"
                                        57/1  หมู่ 5  ต.แม่ทา  อ.แม่ออน  จ.เชียงใหม่ โทรศัพท์ 0899999641 
                                    "
6-50-23-05/1-0038,วิสาหกิจชุมชนเกษตรกรรมระบบอัจฉริยะตำบลแม่ทา,"
                                        101/3  หมู่ 4  ต.แม่ทา  อ.แม่ออน  จ.เชียงใหม่ โทรศัพท์ 0852508016 
                                    "
6-50-23-06/1-0011,วิสาหกิจชุมชนกลุ่มออมทรัพย์บ้านใหม่ดอนแก้ว,"
                                        6/2  หมู่ 2  ต.ทาเหนือ  อ.แม่ออน  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-23-06/1-0012,วิสาหกิจชุมชนกลุ่มเกษตรกรอินทรีย์บ้านห้วยบง,"
                                        11/1  หมู่ 5  ต.ทาเหนือ  อ.แม่ออน  จ.เชียงใหม่ โทรศัพท์ 0806789298 
                                    "
