RegisterNo,ProvinceID,AmphurID,Name,Address
6-50-02-03/1-0018,50,02,วิสาหกิจชุมชนกลุ่มบริการการท่องเที่ยวโดยชุมชน,"
                                        81/1  หมู่ 22  ต.บ้านหลวง  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0861932927 
                                    "
6-50-02-03/1-0027,50,02,วิสาหกิจชุมชนกลุ่มเย็บผ้าสตรีแม่บ้านตาดมื่น,"
                                        157/1  หมู่ 16  ต.บ้านหลวง  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0844853672 
                                    "
6-50-02-03/1-0029,50,02,วิสาหกิจชุมชนกลุ่มร้านค้าสวัสดิการคริสตจักรขุนกลาง,"
                                        78  หมู่ 7  ต.บ้านหลวง  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0833253042 
                                    "
6-50-02-03/1-0047,50,02,วิสาหกิจชุมชนกลุ่มเกษตรกรผู้ผลิตสินค้าเกษตรไร้สารเคมี,"
                                        305/3  หมู่ 20  ต.บ้านหลวง  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0857238313 
                                    "
6-50-02-03/1-0048,50,02,วิสาหกิจชุมชนกลุ่มผู้ผลิตลำไยนอกฤดูบ้านแท่นคำ,"
                                        61  หมู่ 1  ต.บ้านหลวง  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 053826111 
                                    "
6-50-02-03/1-0049,50,02,วิสาหกิจชุมชนกลุ่มบ้านเมืองอาง,"
                                        98  หมู่ 9  ต.บ้านหลวง  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0857238510 
                                    "
6-50-02-03/1-0050,50,02,วิสาหกิจชุมชนกลุ่มพัฒนาอาชีพเกษตรกรรมเทศบาลตำบลจอมทอง,"
                                        299  หมู่ 4  ต.บ้านหลวง  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-02-03/1-0052,50,02,วิสาหกิจชุมชนกลุ่มผลิตลำไยคุณภาพบ้านเมืองกลาง,"
                                        94  หมู่ 11  ต.บ้านหลวง  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0819921727 
                                    "
6-50-02-03/1-0053,50,02,วิสาหกิจชุมชนกลุ่มผู้ผลิตถั่วลิสงผักสดบ้านตาดมื่น,"
                                        214  หมู่ 16  ต.บ้านหลวง  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-02-03/1-0054,50,02,วิสาหกิจชุมชนอ่างกาฟรอเรสท์วิว,"
                                        51  หมู่ 17  ต.บ้านหลวง  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0871126216 
                                    "
6-50-02-03/1-0055,50,02,วิสาหกิจชุมชนกลุ่มทอผ้าและแปรรูปผลิตภัณฑ์,"
                                        245  หมู่ 15  ต.บ้านหลวง  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0828907972 
                                    "
6-50-02-03/1-0056,50,02,วิสาหกิจชุมชนกลุ่มบริการท่องเที่ยวเชิงอนุรักษ์ชาติพันธุ์คนต้นน้ำดอยอินทนนท์,"
                                        39  หมู่ 7  ต.บ้านหลวง  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0898515979 
                                    "
6-50-02-03/1-0057,50,02,วิสาหกิจชุมชนน้ำดื่มสะอาดโรตารี่ ชุมชนตำบลบ้านหลวง,"
                                        172  หมู่ 11  ต.บ้านหลวง  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0931303799 
                                    "
6-50-02-03/1-0058,50,02,วิสาหกิจชุมชนรักษ์อินทรีย์ดอยอินทนนท์,"
                                        205  หมู่ 16  ต.บ้านหลวง  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0879111722 
                                    "
6-50-02-03/1-0059,50,02,วิสาหกิจชุมชนผู้นำเที่ยวเฉพาะถิ่นกิ่วแม่ปาน,"
                                        147  หมู่ 7  ต.บ้านหลวง  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0931627561 
                                    "
6-50-02-03/1-0062,50,02,วิสาหกิจชุมชนเศรษฐกิจพอเพียงต้นแบบบ้านแม่หอย หมู่ที่10,"
                                        82  หมู่ 10  ต.บ้านหลวง  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0822345761 
                                    "
6-50-02-03/1-0063,50,02,วิสาหกิจชุมชนบ้านพักเชิงอนุรักษ์,"
                                        28  หมู่ 8  ต.บ้านหลวง  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0806772124 
                                    "
6-50-02-03/1-0064,50,02,วิสาหกิจชุมชนกาแฟมึกะคี,"
                                        136  หมู่ 17  ต.บ้านหลวง  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0931313850 
                                    "
6-50-02-03/1-0065,50,02,วิสาหกิจชุมชนกลุ่มแปรรูปผลผลิตทางการเกษตรบ้านเมืองกลาง ม.11 ต.บ้านหลวง,"
                                        184  หมู่ 11  ต.บ้านหลวง  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0931303799 
                                    "
6-50-02-03/1-0066,50,02,วิสาหกิจชุมชนกลุ่มกาแฟขุนยะ,"
                                        31  หมู่ 19  ต.บ้านหลวง  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0631089848 
                                    "
6-50-02-03/1-0067,50,02,วิสาหกิจชุมชนอินโนเวทีฟ สวิส อะกริคัลเจอร์ เชียงใหม่,"
                                        21  หมู่ 22  ต.บ้านหลวง  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0811665916 
                                    "
6-50-02-03/1-0068,50,02,วิสาหกิจชุมชนกลุ่มปลูกพืชพลังงานเพื่อผลิตโรงไฟฟ้าชุมชนบ้านหลวง,"
                                        80/2  หมู่ 21  ต.บ้านหลวง  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0871885604 
                                    "
6-50-02-03/1-0069,50,02,วิสาหกิจชุมชนเพื่อการเกษตรจอมทอง,"
                                        246  หมู่ 11  ต.บ้านหลวง  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-02-03/1-0070,50,02,วิสาหกิจชุมชนสวนเกษตรอินทรีย์อินทนนท์,"
                                        128  หมู่ 20  ต.บ้านหลวง  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0982414941 
                                    "
6-50-02-03/1-0071,50,02,วิสาหกิจชุมชนกลุ่มแปรรูปและถนอมอาหารบ้านสบแจ่ม,"
                                        122  หมู่ 8  ต.บ้านแปะ  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0806719659 
                                    "
6-50-02-03/1-0072,50,02,วิสาหกิจชุมชนกลุ่มเกษตรอินทรีย์และการท่องเที่ยวเชิงเกษตรบ้านเมืองอาง,"
                                        163  หมู่ 9  ต.บ้านหลวง  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0620430455 
                                    "
6-50-02-03/1-0073,50,02,วิสาหกิจชุมชนกลุ่มเกษตรกรผู้ปลูกและแปรรูปลำไยบ้านปะ หมู่ 14 ,"
                                        111  หมู่ 14  ต.บ้านหลวง  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0929642185 
                                    "
6-50-02-03/1-0074,50,02,วิสาหกิจชุมชนกลุ่มเกษตรกรผักอินทรีย์บ้านแม่กลางหลวง ,"
                                        211  หมู่ 17  ต.บ้านหลวง  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0806632210 
                                    "
6-50-02-03/1-0075,50,02,วิสาหกิจชุมชนกลุ่มพัฒนาอาชีพบ้านแม่หอยหมู่ 10 ,"
                                        1/1  หมู่ 10  ต.บ้านหลวง  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-02-03/1-0076,50,02,วิสาหกิจชุมชนกลุ่มตลาดม้งบ้านขุนกลางใหม่,"
                                        249  หมู่ 7  ต.บ้านหลวง  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0843636727 
                                    "
6-50-02-03/1-0077,50,02,วิสาหกิจชุมชนกลุ่มหัตถกรรมสตรีบ้านผาหมอน,"
                                        56/3  หมู่ 8  ต.บ้านหลวง  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0801344664 
                                    "
6-50-02-04/1-0005,50,02,วิสาหกิจชุมชนกลุ่มแปรรูปผลิตภัณฑ์ผ้าฝ้ายบ้านท่าศาลา,"
                                        8  หมู่ 3  ต.ข่วงเปา  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 095573549 
                                    "
6-50-02-04/1-0017,50,02,วิสาหกิจชุมชนกลุ่มแม่บ้านสันไฟฟ้าพัฒนา,"
                                        195  หมู่ 5  ต.ข่วงเปา  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 053826486 
                                    "
6-50-02-04/1-0041,50,02,วิสาหกิจชุมชนกลุ่มจักสานและหัตถกรรมบ้านพรสวรรค์,"
                                        60  หมู่ 14  ต.ข่วงเปา  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-02-04/1-0042,50,02,วิสาหกิจชุมชนกลุ่มเย็บผ้าตำบลข่วงเปา,"
                                        57/3  หมู่ 13  ต.ข่วงเปา  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0810279655 
                                    "
6-50-02-04/1-0045,50,02,วิสาหกิจชุมชนคนตะวาคาวี,"
                                        93  หมู่ 9  ต.ข่วงเปา  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0979355746 
                                    "
6-50-02-04/1-0046,50,02,วิสาหกิจชุมชนกลุ่มรักษ์ไผ่และพืชพลังงานตำบลข่วงเปา,"
                                        47/2  หมู่ 8  ต.ข่วงเปา  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0814732004 
                                    "
6-50-02-04/1-0047,50,02,วิสาหกิจชุมชนกลุ่มเพาะชำกล้าไม้บ้านหนองห่าย,"
                                        217  หมู่ 1  ต.ข่วงเปา  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0871826549 
                                    "
6-50-02-04/1-0048,50,02,วิสาหกิจชุมชนรักษ์ไผ่และพืชพลังงานจอมทอง,"
                                        179  หมู่ 2  ต.ข่วงเปา  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0898380552 
                                    "
6-50-02-04/1-0049,50,02,วิสาหกิจชุมชนกลุ่มแหนมรวมใจหมู่ที่ 9 ข่วงเปา,"
                                        377  หมู่ 9  ต.ข่วงเปา  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0806783284 
                                    "
6-50-02-04/1-0050,50,02,วิสาหกิจชุมชนกลุ่มส่งเสริมอาชีพบ้านสันไฟฟ้า,"
                                        116  หมู่ 5  ต.ข่วงเปา  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0843698544 
                                    "
6-50-02-05/1-0002,50,02,วิสาหกิจชุมชนกลุ่มแม่บ้านเกษตรกรบ้านหาดนาค,"
                                        522  หมู่ 17  ต.สบเตี๊ยะ  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 053361088 
                                    "
6-50-02-05/1-0006,50,02,วิสาหกิจชุมชนกลุ่มทอผ้าบ้านวังปิน,"
                                        329  หมู่ 1  ต.สบเตี๊ยะ  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 053826152 
                                    "
6-50-02-05/1-0033,50,02,วิสาหกิจชุมชนกลุ่มพัฒนาคุณภาพลำไยหาดนาคพัฒนา 3,"
                                        425  หมู่ 17  ต.สบเตี๊ยะ  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 053361059 
                                    "
6-50-02-05/1-0076,50,02,วิสาหกิจชุมชนกลุ่มปราชญ์ช่างไม้ ผลิตภัณฑ์ไม้หมู่ที่ 7,"
                                        466  หมู่ 7  ต.สบเตี๊ยะ  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 087173382 
                                    "
6-50-02-05/1-0082,50,02,วิสาหกิจชุมชนกลุ่มแปรรูปลำไยอบแห้งบ้านหาดนาค,"
                                        59  หมู่ 17  ต.สบเตี๊ยะ  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0819604228 
                                    "
6-50-02-05/1-0083,50,02,วิสาหกิจชุมชนกลุ่มแปรรูปลำไยเนื้อสีทองบ้านหาดนาค,"
                                        59  หมู่ 17  ต.สบเตี๊ยะ  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0819611186 
                                    "
6-50-02-05/1-0084,50,02,วิสาหกิจชุมชนกล้วยหอมทองจอมทอง,"
                                        204  หมู่ 8  ต.สบเตี๊ยะ  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 053806999 
                                    "
6-50-02-05/1-0086,50,02,วิสาหกิจชุมชนกลุ่มเกษตรกร ยั่งยืน,"
                                        242/1  หมู่ 9  ต.สบเตี๊ยะ  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0903730162 
                                    "
6-50-02-05/1-0087,50,02,วิสาหกิจชุมชนเฮาฮักผ้าฝ้ายเย็บมือ,"
                                        107/1  หมู่ 11  ต.สบเตี๊ยะ  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0816021433 
                                    "
6-50-02-05/1-0090,50,02,วิสาหกิจชุมชนกลุ่มลำไยคุณภาพบ้านห้วยม่วง,"
                                        111  หมู่ 11  ต.สบเตี๊ยะ  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0818849492 
                                    "
6-50-02-05/1-0091,50,02,วิสาหกิจชุมชนกล่มปฏิรูปที่ดินบ้านห้วยม่วงเพื่อการผลิตลำไยคุณภาพ,"
                                        177  หมู่ 11  ต.สบเตี๊ยะ  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0622565146 
                                    "
6-50-02-05/1-0092,50,02,วิสาหกิจชุมชนกลุ่มผ้าฝ้ายเชิงดอย,"
                                        196  หมู่ 3  ต.สบเตี๊ยะ  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0810272688 
                                    "
6-50-02-05/1-0093,50,02,วิสาหกิจชุมชนกลุ่มท่องเที่ยวโดยชุมชนบ้านเชิงดอย ,"
                                        196  หมู่ 3  ต.สบเตี๊ยะ  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0810272688 
                                    "
6-50-02-05/1-0094,50,02,วิสาหกิจชุมชนกลุ่มทอผ้าบ้านเด่นตะวันใต้,"
                                        100  หมู่ 20  ต.สบเตี๊ยะ  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0812895275 
                                    "
6-50-02-05/1-0095,50,02,วิสาหกิจชุมชนแปรรูปผ้าบ้านดงหาดนาค,"
                                        361  หมู่ 7  ต.สบเตี๊ยะ  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0843785461 
                                    "
6-50-02-05/1-0096,50,02,วิสาหกิจชุมชนกลุ่มแปรรูปผลิตภัณฑ์จากผ้าฝ้ายบ้านหนองอาบช้าง,"
                                        372/2  หมู่ 9  ต.สบเตี๊ยะ  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0837635324 
                                    "
6-50-02-05/1-0097,50,02,วิสาหกิจชุมชนกลุ่มปุ๋ยน้ำอินทรีย์ชีวภาพบ้านดงหาดนาค,"
                                        361  หมู่ 7  ต.สบเตี๊ยะ  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0884160239 
                                    "
6-50-02-06/1-0001,50,02,วิสาหกิจชุมชนกลุ่มทอผ้าบ้านห้วยทราย,"
                                        204  หมู่ 5  ต.บ้านแปะ  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 053461443 
                                    "
6-50-02-06/1-0009,50,02,วิสาหกิจชุมชนกลุ่มพัฒนาคุณภาพลำไยบ้านดงเย็น,"
                                        3  หมู่ 15  ต.บ้านแปะ  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 019602248 
                                    "
6-50-02-06/1-0010,50,02,วิสาหกิจชุมชนกลุ่มพัฒนาอาชีพบ้านทุ่งพัฒนา,"
                                        156  หมู่ 13  ต.บ้านแปะ  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 040253460 
                                    "
6-50-02-06/1-0015,50,02,วิสาหกิจชุมชนกลุ่มรวมใจลำไยสบแจ่ม,"
                                        251  หมู่ 8  ต.บ้านแปะ  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 053831107 
                                    "
6-50-02-06/1-0026,50,02,วิสาหกิจชุมชนกลุ่มกันทะวัง,"
                                        49  หมู่ 18  ต.บ้านแปะ  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-02-06/1-0027,50,02,วิสาหกิจชุมชนบ้านสบแปะ,"
                                        187  หมู่ 1  ต.บ้านแปะ  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0811639205 
                                    "
6-50-02-06/1-0030,50,02,วิสาหกิจชุมชนกลุ่มแปรรูปสมุนไพรบ้านขุนแปะ,"
                                        160  หมู่ 12  ต.บ้านแปะ  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-02-06/1-0031,50,02,"วิสาหกิจชุมชนกลุ่มเกษตรกรผู้ทำสวนลำไยและแปรรูปพืช,ผลไม้","
                                        72  หมู่ 8  ต.บ้านแปะ  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0966972592 
                                    "
6-50-02-06/1-0032,50,02,วิสาหกิจชุมชน พัฒนาเกษตรบ้านดงเย็น,"
                                        81  หมู่ 15  ต.บ้านแปะ  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0871740694 
                                    "
6-50-02-06/1-0033,50,02,วิสาหกิจชุมชน กลุ่มหัตถกรรมแม่บ้านขุนแปะ,"
                                        24/1  หมู่ 12  ต.บ้านแปะ  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0987582496 
                                    "
6-50-02-06/1-0034,50,02,วิสาหกิจชุมชนเกษตรกรบ้านแปะ ม.4,"
                                        128  หมู่ 4  ต.บ้านแปะ  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0856264766 
                                    "
6-50-02-06/1-0035,50,02,วิสาหกิจชุมชนกลุ่มเพาะกล้าไม้โครงการสร้างป่าสร้างรายได้บ้านขุนแปะ,"
                                           หมู่ 17  ต.บ้านแปะ  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0872104951 
                                    "
6-50-02-06/1-0036,50,02,วิสาหกิจชุมชนเกษตรพอเพียงบ้านห้วยหวยทราย,"
                                        204  หมู่ 5  ต.บ้านแปะ  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0646985298 
                                    "
6-50-02-06/1-0037,50,02,วิสาหกิจชุมชนกลุ่มแปรรูปสมุนไพรพื้นบ้าน รพ.สต.บ้านสบแปะ,"
                                        215  หมู่ 2  ต.บ้านแปะ  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0987560037 
                                    "
6-50-02-06/1-0038,50,02,วิสาหกิจชุมชนกลุ่มพัฒนาเกษตรผสมผสานบ้านสบแปะ,"
                                        18  หมู่ 1  ต.บ้านแปะ  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0988235271 
                                    "
6-50-02-06/1-0039,50,02,วิสาหกิจชุมชนกลุ่มเลี้ยงเป็ดไข่บ้านห้วยทราย,"
                                        27  หมู่ 5  ต.บ้านแปะ  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0817241931 
                                    "
6-50-02-06/1-0040,50,02,วิสาหกิจชุมชนกลุ่มลำไยอบแห้งบ้านข่วงเปาใต้,"
                                        90  หมู่ 19  ต.บ้านแปะ  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0857224630 
                                    "
6-50-02-06/1-0041,50,02,วิสาหกิจชุมชนกลุ่มพัฒนาเกษตรผสมผสานบ้านดงเย็น,"
                                        3  หมู่ 15  ต.บ้านแปะ  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0819602248 
                                    "
6-50-02-06/1-0042,50,02,วิสาหกิจชุมชนกลุ่มพัฒนาอาชีพชุมชนขุนแปะ,"
                                        189/1  หมู่ 12  ต.บ้านแปะ  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-02-06/1-0043,50,02,วิสาหกิจชุมชนแปรรูปสมุนไพรบ้านขุนแปะ,"
                                        189/1  หมู่ 12  ต.บ้านแปะ  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0877100263 
                                    "
6-50-02-06/1-0044,50,02,วิสาหกิจชุมชนกรีนฟาร์ม,"
                                        256  หมู่ 19  ต.บ้านแปะ  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0979533218 
                                    "
6-50-02-06/1-0045,50,02,วิสาหกิจชุมชนกลุ่มเกษตรบ้านข่วงเปาใต้,"
                                        145  หมู่ 6  ต.บ้านแปะ  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0657575482 
                                    "
6-50-02-06/1-0046,50,02,วิสาหกิจชุมชนลำไยคุณภาพปลอดสารพิษบ้านห้วยทราย,"
                                        103  หมู่ 5  ต.บ้านแปะ  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0810273861 
                                    "
6-50-02-06/1-0047,50,02,วิสาหกิจชุมชน เกษตรแนวคิดใหม่,"
                                        1  หมู่ 19  ต.บ้านแปะ  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0616858765 
                                    "
6-50-02-07/1-0001,50,02,วิสาหกิจชุมชนกลุ่มทอผ้าฝ้ายบ้านใหม่แม่เตี๊ยะ,"
                                        27/2  หมู่ 6  ต.ดอยแก้ว  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 069196282 
                                    "
6-50-02-07/1-0004,50,02,วิสาหกิจชุมชนกลุ่มแปรรูปแพะดินแดง,"
                                        271  หมู่ 2  ต.ดอยแก้ว  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 053826207 
                                    "
6-50-02-07/1-0005,50,02,วิสาหกิจชุมชนกลุ่มพัฒนาอาชีพทอผ้า,"
                                        58/2  หมู่ 7  ต.ดอยแก้ว  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-02-07/1-0032,50,02,วิสาหกิจชุมชนกลุ่มดอยทองพัฒนา,"
                                        100  หมู่ 7  ต.ดอยแก้ว  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์   
                                    "
6-50-02-07/1-0045,50,02,วิสาหกิจชุมชนกลุ่มศิลปะประดิษฐ์เทศบาลตำบลจอมทอง,"
                                        34  หมู่ 1  ต.ดอยแก้ว  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0846124214 
                                    "
6-50-02-07/1-0048,50,02,วิสาหกิจชุมชนกลุ่มปลูกไม้ผลเมืองหนาวฟาร์มตัวอย่าง ตามพระราชดำริบ้านขุนแตะ,"
                                        220  หมู่ 5  ต.ดอยแก้ว  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0871728533 
                                    "
6-50-02-07/1-0049,50,02,วิสาหกิจชุมชนเฮือนกาแฟ by ห้วยส้มป่อย,"
                                        167  หมู่ 8  ต.ดอยแก้ว  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0903273405 
                                    "
6-50-02-07/1-0050,50,02,วิสาหกิจชุมชนการทำลำไยคุณภาพ,"
                                        269  หมู่ 1  ต.ดอยแก้ว  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0841774789 
                                    "
6-50-02-07/1-0051,50,02,วิสาหกิจชุมชนกาแฟอาราบิก้า ดอยขุนแตะ,"
                                        84  หมู่ 5  ต.ดอยแก้ว  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0818844489 
                                    "
6-50-02-07/1-0052,50,02,วิสาหกิจชุมชนกลุ่มเลี้ยงสุกรเกษตรผสมผสานบ้านใหม่แม่เตี๊ยะ,"
                                        10  หมู่ 6  ต.ดอยแก้ว  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0812878024 
                                    "
6-50-02-07/1-0053,50,02,วิสาหกิจชุมชนกลุ่มเก่อญอโพดอยแก้ว64,"
                                        2/1  หมู่ 8  ต.ดอยแก้ว  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0871818853 
                                    "
6-50-02-07/1-0054,50,02,วิสาหกิจชุมชนกลุ่มพัฒนาการเกษตรบ้านท่ามณี,"
                                        73  หมู่ 2  ต.ดอยแก้ว  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0930391233 
                                    "
6-50-02-09/1-0005,50,02,วิสาหกิจชุมชนกลุ่มพัฒนาคุณภาพลำไยบ้านใหม่สารภี  หมู่ที่  4  ตำบลแม่สอย,"
                                        135  หมู่ 4  ต.แม่สอย  อ.จอมทอง  จ.เชียงใหม่ โทรศัพท์ 0819606444 
                                    "
